millisecond,x,y,minute,second,zone_played
34000,37.10232038255264,91.7777948420973,0,34,attacking
34000,43.626959387948396,60.10565151878336,0,34,middle
34000,35.06082654838038,118.64756914761603,0,34,attacking
34000,19.91468043914905,86.21632758402468,0,34,attacking
34000,46.392304077917416,87.3847624583085,0,34,attacking
35000,5.492135542181166,36.492332016033856,0,35,defensive
35000,17.687008005471743,21.92995473948511,0,35,defensive
35000,28.880003274213628,41.84244758908743,0,35,middle
35000,44.98263250742423,62.1429117904313,0,35,middle
35000,7.2375643506482525,67.0880814448859,0,35,middle
35000,49.91515379102637,61.37342675341186,0,35,middle
35000,35.265525369476244,114.63259874266134,0,35,attacking
35000,17.163320225152393,82.71944010176368,0,35,attacking
35000,37.08039613269436,77.78806369705082,0,35,middle
35000,43.363220425989226,90.95863057421671,0,35,attacking
36000,17.276014863720498,25.268572826579614,0,36,defensive
36000,6.786853477511535,38.782292044515245,0,36,defensive
36000,44.39095292390065,59.50007898140154,0,36,middle
36000,30.31444835942522,41.84435728442567,0,36,middle
36000,17.26969721803765,79.65462797780035,0,36,middle
36000,35.35931589017565,115.62113420686622,0,36,attacking
36000,39.44621353101513,88.64451425730967,0,36,attacking
36000,48.6395973837857,62.28696707882655,0,36,middle
36000,7.498984401564716,69.13723432162612,0,36,middle
36000,37.677077463098556,76.7904469979643,0,36,middle
37000,7.1158581352912345,40.18561944540491,0,37,middle
37000,16.62377064949023,24.00337703826108,0,37,defensive
37000,35.35931589017565,115.62113420686622,0,37,attacking
37000,31.195496974327313,42.49471263002411,0,37,middle
37000,42.05954860926431,56.73375404894584,0,37,middle
37000,47.847106761124934,63.68372820498679,0,37,middle
37000,9.41227019324587,74.74637155764475,0,37,middle
37000,17.739246746960994,79.70284099707479,0,37,middle
37000,37.83032086863634,79.5057215202046,0,37,middle
37000,40.664420716258086,90.06092442886971,0,37,attacking
38000,12.434696684285907,79.15815244329708,0,38,middle
38000,46.671234681023314,65.08590164305356,0,38,middle
38000,30.57412645324262,44.97814923313089,0,38,middle
38000,15.100183960932785,23.378046847213767,0,38,defensive
